index,datetime,UNIX,EDA,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,SessionID,Datetime,Date,Time,ElapsedMinutes,StartEnd,DateTime,timestamp,DeviceID,uptime,Status,measuretime,person,window_open,window_event,door_event,dHdt,dCO2dt,bat,bat_e,health,performance,virus,tvoc,tvoc_e,co2,co2_e,oxygen,oxygen_e,co,co_e,o3,o3_e,pm1,pm1_e,pm2_5,pm2_5_e,pm10,pm10_e,cnt0_3,cnt0_3_e,cnt0_5,cnt0_5_e,cnt1,cnt1_e,cnt2_5,cnt2_5_e,cnt5,cnt5_e,cnt10,cnt10_e,TypPS,temperature,temperature_e,humidity,humidity_e,humidity_abs,humidity_abs_e,dewpt,dewpt_e,pressure,pressure_e,pressure_rel,pressure_rel_e,no2,no2_e,so2,so2_e,h2s,h2s_e,sound,sound_e,sound_max,tvoc_ionsc,tvoc_ionsc_e,radon,radon_e,n2o,n2o_e,no2_insplorion,no2_insplorion_e,ch4_MIPEX,ch4_MIPEX_e,c3h8_MIPEX,c3h8_MIPEX_e,flammable,ethanol,ethanol_e,iaq_spec,iaq_spec_e,resp_irr_spec,resp_irr_spec_e,nh3_MR100,nh3_MR100_e,acid_M100,acid_M100_e,h2_M1000,h2_M1000_e,no_M250,no_M250_e,cl2_M20,cl2_M20_e,ch2o_M10,ch2o_M10_e,pm1_SPS30,pm1_SPS30_e,pm2_5_SPS30,pm2_5_SPS30_e,pm4_SPS30,pm4_SPS30_e,pm10_SPS30,pm10_SPS30_e,cnt0_5_SPS30,cnt0_5_SPS30_e,cnt1_SPS30,cnt1_SPS30_e,cnt2_5_SPS30,cnt2_5_SPS30_e,cnt4_SPS30,cnt4_SPS30_e,cnt10_SPS30,cnt10_SPS30_e,TypPS_SPS30,br2,f2,hf,hcl,hcn,ch4s,clo2,cs2,ph3,sih4,c2h4,c2h4o,ash3,h2o2,refrigerant
10282,2023-01-27 13:21:00,1674825690,0.7600057958333333,0.7600057958333333,0.7600026748491139,0.7592088905503263,0.0007937842987951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:21:29.875000064,2023-01-27,2023-04-03 13:21:29,81.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10283,2023-01-27 13:22:00,1674825750,0.8004047458333333,0.8004047458333333,0.8004066733360045,0.8013161925981138,-0.0009095192620832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:22:29.875000064,2023-01-27,2023-04-03 13:22:29,82.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10284,2023-01-27 13:23:00,1674825810,0.782453275,0.782453275,0.7824514617836543,0.7821863391723565,0.0002651226113123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:23:29.875000064,2023-01-27,2023-04-03 13:23:29,83.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285,2023-01-27 13:24:00,1674825870,0.7478211833333333,0.7478211833333333,0.7478248127497847,0.7509950548085714,-0.0031702420587606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:24:29.875000064,2023-01-27,2023-04-03 13:24:29,84.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10286,2023-01-27 13:25:00,1674825930,0.8107367541666667,0.8107367541666667,0.8107286987911337,0.8075902806465176,0.0031384181446303,0.0083333333333333,0.0083333333333333,0.0039341545201296,0.0043953413373896,0.0026041666666666,0.0083333333333333,0.0057291666666666,P21_3,2023-01-27 13:25:29.875000064,2023-01-27,2023-04-03 13:25:29,85.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10287,2023-01-27 13:26:00,1674825990,0.7719504166666666,0.7719504166666666,0.7719576320344126,0.772141584634224,-0.0001839525998051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:26:29.875000064,2023-01-27,2023-04-03 13:26:29,86.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10288,2023-01-27 13:27:00,1674826050,0.7476129375,0.7476129375,0.7476147715586349,0.7475215500320457,9.322152659385645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:27:29.875000064,2023-01-27,2023-04-03 13:27:29,87.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289,2023-01-27 13:28:00,1674826110,0.7356311083333333,0.7356311083333333,0.7356268807358659,0.7355892148306389,3.766590523540823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:28:29.875000064,2023-01-27,2023-04-03 13:28:29,88.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10290,2023-01-27 13:29:00,1674826170,0.73843965,0.73843965,0.7384421728538587,0.7383295433212326,0.0001126295326318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:29:29.875000064,2023-01-27,2023-04-03 13:29:29,89.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10291,2023-01-27 13:30:00,1674826230,0.7279100541666667,0.7279100541666667,0.7279061360540003,0.728163198511569,-0.0002570624575627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:30:29.875000064,2023-01-27,2023-04-03 13:30:29,90.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292,2023-01-27 13:31:00,1674826290,0.7292876041666666,0.7292876041666666,0.7292890195560413,0.7284887370286182,0.0008002825274416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:31:29.875000064,2023-01-27,2023-04-03 13:31:29,91.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10293,2023-01-27 13:32:00,1674826350,0.7402550666666666,0.7402550666666666,0.7402552698953248,0.7427330914214497,-0.0024778215261116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:32:29.875000064,2023-01-27,2023-04-03 13:32:29,92.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10294,2023-01-27 13:33:00,1674826410,0.7325874666666666,0.7325874666666666,0.7325890491342247,0.7309185537894703,0.0016704953447634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:33:29.875000064,2023-01-27,2023-04-03 13:33:29,93.0,0,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10295,2023-01-27 13:34:00,1674826470,0.7211768375,0.7211768375,0.7211796889624987,0.7209510594077971,0.0002286295546996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P21_3,2023-01-27 13:34:29.875000064,2023-01-27,2023-04-03 13:34:29,94.0,1,05.01.2023 16:52:36,1672933956000.0,880f01e687e2572cea04e80fc6a68085,461684.0,OK,1812.0,5.0,0.0,0.0,0.0,0.17,299.42,0.0,0.0,907.0,505.0,,316.63,47.49,775.618,73.27,20.854,0.93,1.539,0.22,9.359,1.66,0.0,10.0,0.009,10.0,0.01,10.0,78.346,17.63,21.487,12.05,1.294,10.07,0.001,10.0,0.0,10.0,0.0,10.0,1.017,25.271,0.53,35.259,3.28,8.278,0.66,9.0,1.19,963.8499,1.0,,,17.397,2.66,80.456,16.26,,,39.538,9.02,79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
