UNIX,EDA
1678262333.5,0.167885
1678262333.75,0.167885
1678262334.0,0.170448
1678262334.25,0.176856
1678262334.5,0.181982
1678262334.75,0.185827
1678262335.0,0.193516
1678262335.25,0.192234
1678262335.5,0.196079
1678262335.75,0.198642
1678262336.0,0.201205
1678262336.25,0.207613
1678262336.5,0.207613
1678262336.75,0.208895
1678262337.0,0.210176
1678262337.25,0.193516
1678262337.5,0.171729
1678262337.75,0.14738
1678262338.0,0.156351
1678262338.25,0.1807
1678262338.5,0.183263
1678262338.75,0.196079
1678262339.0,0.202487
1678262339.25,0.206332
1678262339.5,0.208895
1678262339.75,0.211458
1678262340.0,0.214021
1678262340.25,0.216584
1678262340.5,0.217866
1678262340.75,0.220429
1678262341.0,0.224273
1678262341.25,0.228118
1678262341.5,0.226837
1678262341.75,0.226837
1678262342.0,0.2294
1678262342.25,0.220429
1678262342.5,0.199924
1678262342.75,0.196079
1678262343.0,0.199924
1678262343.25,0.215303
1678262343.5,0.219147
1678262343.75,0.22171
1678262344.0,0.222992
1678262344.25,0.222992
1678262344.5,0.224273
1678262344.75,0.222992
1678262345.0,0.222992
1678262345.25,0.220429
1678262345.5,0.220429
1678262345.75,0.222992
1678262346.0,0.22171
1678262346.25,0.225555
1678262346.5,0.224273
1678262346.75,0.225555
1678262347.0,0.225555
1678262347.25,0.2294
1678262347.5,0.2294
1678262347.75,0.231963
1678262348.0,0.231963
1678262348.25,0.210176
1678262348.5,0.211458
1678262348.75,0.214021
1678262349.0,0.2294
1678262349.25,0.235808
1678262349.5,0.225555
1678262349.75,0.208895
1678262350.0,0.228118
1678262350.25,0.230681
1678262350.5,0.235808
1678262350.75,0.237089
1678262351.0,0.114059
1678262351.25,0.105088
1678262351.5,0.107651
1678262351.75,0.111496
1678262352.0,0.121748
1678262352.25,0.143535
1678262352.5,0.146098
1678262352.75,0.148661
1678262353.0,0.151224
1678262353.25,0.155069
1678262353.5,0.156351
1678262353.75,0.157632
1678262354.0,0.158914
1678262354.25,0.161477
1678262354.5,0.165322
1678262354.75,0.166603
1678262355.0,0.167885
1678262355.25,0.167885
1678262355.5,0.169166
1678262355.75,0.167885
1678262356.0,0.166603
1678262356.25,0.167885
1678262356.5,0.173011
1678262356.75,0.174293
1678262357.0,0.173011
1678262357.25,0.175574
1678262357.5,0.176856
1678262357.75,0.178137
1678262358.0,0.178137
1678262358.25,0.178137
1678262358.5,0.178137
1678262358.75,0.179419
1678262359.0,0.1807
1678262359.25,0.183263
1678262359.5,0.184545
1678262359.75,0.184545
1678262360.0,0.185827
1678262360.25,0.185827
1678262360.5,0.18839
1678262360.75,0.18839
1678262361.0,0.187108
1678262361.25,0.184545
1678262361.5,0.185827
1678262361.75,0.185827
1678262362.0,0.18839
1678262362.25,0.187108
1678262362.5,0.187108
1678262362.75,0.18839
1678262363.0,0.18839
1678262363.25,0.190953
1678262363.5,0.189671
1678262363.75,0.190953
1678262364.0,0.189671
1678262364.25,0.189671
1678262364.5,0.190953
1678262364.75,0.193516
1678262365.0,0.193516
1678262365.25,0.192234
1678262365.5,0.193516
1678262365.75,0.193516
1678262366.0,0.196079
1678262366.25,0.196079
1678262366.5,0.197361
1678262366.75,0.197361
1678262367.0,0.197361
1678262367.25,0.198642
1678262367.5,0.199924
1678262367.75,0.202487
1678262368.0,0.20505
1678262368.25,0.166603
1678262368.5,0.133283
1678262368.75,0.148661
1678262369.0,0.16404
1678262369.25,0.174293
1678262369.5,0.178137
1678262369.75,0.175574
