UNIX,EDA
1677138551.0,1.968499
1677138551.25,1.958257
1677138551.5,1.951855
1677138551.75,1.955696
1677138552.0,1.954416
1677138552.25,1.946734
1677138552.5,1.954416
1677138552.75,1.958257
1677138553.0,1.953135
1677138553.25,1.949294
1677138553.5,1.962098
1677138553.75,1.956976
1677138554.0,1.950575
1677138554.25,1.951855
1677138554.5,1.964658
1677138554.75,1.987704
1677138555.0,1.994106
1677138555.25,1.978742
1677138555.5,2.012031
1677138555.75,2.045319
1677138556.0,2.093971
1677138556.25,2.129821
1677138556.5,2.142624
1677138556.75,2.141344
1677138557.0,2.133662
1677138557.25,2.134942
1677138557.5,2.118298
1677138557.75,2.104214
1677138558.0,2.081168
1677138558.25,2.120858
1677138558.5,2.151586
1677138558.75,2.181034
1677138559.0,2.214323
1677138559.25,2.233527
1677138559.5,2.259134
1677138559.75,2.274498
1677138560.0,2.278339
1677138560.25,2.293703
1677138560.5,2.274498
1677138560.75,2.298824
1677138561.0,2.298824
1677138561.25,2.325711
1677138561.5,2.351318
1677138561.75,2.383326
1677138562.0,2.405092
1677138562.25,2.433259
1677138562.5,2.43966
1677138562.75,2.406799
1677138563.0,2.381193
1677138563.25,2.346624
1677138563.5,2.346624
1677138563.75,2.345343
1677138564.0,2.319737
1677138564.25,2.303092
1677138564.5,2.291569
1677138564.75,2.287729
1677138565.0,2.273645
1677138565.25,2.260842
1677138565.5,2.248038
1677138565.75,2.237796
1677138566.0,2.227553
1677138566.25,2.221152
1677138566.5,2.218591
1677138566.75,2.212189
1677138567.0,2.201946
1677138567.25,2.204507
1677138567.5,2.203227
1677138567.75,2.195545
1677138568.0,2.187863
1677138568.25,2.187863
1677138568.5,2.171219
1677138568.75,2.168658
1677138569.0,2.162256
1677138569.25,2.167378
1677138569.5,2.191704
1677138569.75,2.218591
1677138570.0,2.248038
1677138570.25,2.269804
1677138570.5,2.29285
1677138570.75,2.291569
1677138571.0,2.306933
1677138571.25,2.309494
1677138571.5,2.303092
1677138571.75,2.29285
1677138572.0,2.285168
1677138572.25,2.265963
1677138572.5,2.250599
1677138572.75,2.241637
1677138573.0,2.228833
1677138573.25,2.228833
1677138573.5,2.221152
1677138573.75,2.21603
1677138574.0,2.201946
1677138574.25,2.200666
1677138574.5,2.191704
1677138574.75,2.210909
1677138575.0,2.079035
1677138575.25,2.09952
1677138575.5,2.130248
1677138575.75,2.041905
1677138576.0,2.049587
1677138576.25,2.123847
1677138576.5,1.901069
1677138576.75,1.479414
1677138577.0,1.30913
1677138577.25,1.124563
1677138577.5,1.134806
1677138577.75,1.137367
1677138578.0,1.141208
1677138578.25,1.171936
1677138578.5,1.270521
1677138578.75,1.34606
1677138579.0,1.416478
1677138579.25,1.479215
1677138579.5,1.536829
1677138579.75,1.607247
1677138580.0,1.627733
1677138580.25,1.573959
1677138580.5,1.755766
1677138580.75,1.480495
1677138581.0,1.351182
1677138581.25,1.291006
1677138581.5,0.819845
1677138581.75,0.343464
1677138582.0,0.262734
1677138582.25,0.290901
1677138582.5,0.383085
1677138582.75,0.436859
1677138583.0,0.530323
1677138583.25,0.544406
1677138583.5,0.576415
1677138583.75,0.605862
1677138584.0,0.626347
1677138584.25,0.634029
1677138584.5,0.654515
1677138584.75,0.660916
1677138585.0,0.664757
1677138585.25,0.668598
1677138585.5,0.672439
1677138585.75,0.675
1677138586.0,0.709569
1677138586.25,0.724933
1677138586.5,0.728774
1677138586.75,0.730054
1677138587.0,0.767184
1677138587.25,0.878572
1677138587.5,0.923384
1677138587.75,0.932346
1677138588.0,0.931066
1677138588.25,0.929785
1677138588.5,0.929785
1677138588.75,0.934907
1677138589.0,0.934907
1677138589.25,0.932346
1677138589.5,0.932346
1677138589.75,0.934907
1677138590.0,0.983559
1677138590.25,0.989961
1677138590.5,0.989961
1677138590.75,0.992522
1677138591.0,0.996363
1677138591.25,0.997643
1677138591.5,1.002764
1677138591.75,1.000203
1677138592.0,1.001484
1677138592.25,1.000203
1677138592.5,1.000203
1677138592.75,1.000203
1677138593.0,1.02453
1677138593.25,1.097509
1677138593.5,1.155192
1677138593.75,1.170556
1677138594.0,1.200004
1677138594.25,1.137268
1677138594.5,1.1091
1677138594.75,1.097578
1677138595.0,0.982348
1677138595.25,1.14751
1677138595.5,1.260179
1677138595.75,1.374129
1677138596.0,1.401016
1677138596.25,1.402296
1677138596.5,1.401016
1677138596.75,1.404856
1677138597.0,1.413819
1677138597.25,1.424061
1677138597.5,1.430463
1677138597.75,1.444547
1677138598.0,1.45735
1677138598.25,1.466312
1677138598.5,1.491919
1677138598.75,1.508662
1677138599.0,1.517624
1677138599.25,1.512503
1677138599.5,1.445926
1677138599.75,1.362705
1677138600.0,1.3435
1677138600.25,1.324295
1677138600.5,1.312772
1677138600.75,1.298688
1677138601.0,1.293567
1677138601.25,1.296128
1677138601.5,1.292287
1677138601.75,1.293567
1677138602.0,1.294847
1677138602.25,1.292287
1677138602.5,1.293567
1677138602.75,1.292287
1677138603.0,1.291006
1677138603.25,1.288446
1677138603.5,1.292287
1677138603.75,1.285885
1677138604.0,1.283324
1677138604.25,1.279483
1677138604.5,1.279483
1677138604.75,1.280764
1677138605.0,1.278203
1677138605.25,1.276923
1677138605.5,1.276923
1677138605.75,1.271801
1677138606.0,1.271801
1677138606.25,1.273082
1677138606.5,1.269241
1677138606.75,1.274362
1677138607.0,1.279483
1677138607.25,1.296128
1677138607.5,1.320454
1677138607.75,1.347341
1677138608.0,1.363985
1677138608.25,1.376788
1677138608.5,1.393432
1677138608.75,1.404956
1677138609.0,1.410077
1677138609.25,1.406236
1677138609.5,1.404956
1677138609.75,1.401114
1677138610.0,1.392152
1677138610.25,1.388311
1677138610.5,1.385751
1677138610.75,1.385751
1677138611.0,1.244914
1677138611.25,1.568838
1677138611.5,1.609808
1677138611.75,1.393432
1677138612.0,1.324295
1677138612.25,1.298688
1677138612.5,1.434403
1677138612.75,1.548352
1677138613.0,1.819782
1677138613.25,1.458729
1677138613.5,1.456169
1677138613.75,1.529147
1677138614.0,1.594444
1677138614.25,1.759607
1677138614.5,2.054082
1677138614.75,2.070926
1677138615.0,1.766207
1677138615.25,1.819981
1677138615.5,1.889119
1677138615.75,2.028675
1677138616.0,2.051721
1677138616.25,2.339795
1677138616.5,2.364121
1677138616.75,2.560011
1677138617.0,2.443929
1677138617.25,2.740965
1677138617.5,2.734563
1677138617.75,2.655183
1677138618.0,2.466974
1677138618.25,2.191704
1677138618.5,2.073914
1677138618.75,1.929237
1677138619.0,1.642015
1677138619.25,1.593363
1677138619.5,1.328335
